Image,ELO,Uncertainty,Upvotes,Downvotes
/Users/robinhendel/Code/github/image-ranker/images/1_3_Qr48.png,6.35,4.06,6,1
/Users/robinhendel/Code/github/image-ranker/images/1_2_Qr56.png,1.95,3.96,4,3
/Users/robinhendel/Code/github/image-ranker/images/1_3_Qr56.png,1.88,3.4,4,3
/Users/robinhendel/Code/github/image-ranker/images/1_3_Bv48.png,-1.9,3.94,4,3
/Users/robinhendel/Code/github/image-ranker/images/1_3_Bv64.png,-2.59,3.61,3,4
/Users/robinhendel/Code/github/image-ranker/images/1_3_Qr64.png,-3.73,3.9,2,5
/Users/robinhendel/Code/github/image-ranker/images/1_2_Qr64.png,-4.31,4.13,3,4
/Users/robinhendel/Code/github/image-ranker/images/1_3_Bv56.png,-4.62,3.73,2,5
